User ID,Star Spend,Collection Power,Gold,Green Stones,Purple Stones,Max Normal Constellation,Max Raid Constellation
860996802,0,165,115740,28470,9120,constellation9,
862015684,0,187,116390,31550,13400,constellation9,
864975932,0,4,2150,780,0,constellation2,
867035855,0,18,2150,660,0,constellation2,
870563387,0,15,2960,1600,0,constellation3,
877022190,0,3,1150,550,0,constellation1,
881115599,0,209,188150,42550,15000,constellation9,
886317849,0,22,4650,2110,110,constellation4,
888471570,0,19,3150,1550,0,constellation3,
906935481,0,4,2430,580,0,constellation2,
909347197,0,4,2150,670,0,constellation2,
915726527,0,4,2150,680,0,constellation2,
916602837,0,134,20790,5690,3380,constellation7,
929331594,0,16,3150,2290,0,constellation3,
939135797,0,22,4150,2550,0,constellation4,
943994061,0,7,2150,640,0,constellation2,
958314035,0,43,11150,4550,2000,constellation6,
960920681,0,4,2460,660,0,constellation2,
961314479,0,4,2150,660,0,constellation2,
972983742,0,26,3300,1650,0,constellation3,
973151773,0,14,2390,580,0,constellation2,
979782608,0,109,30150,9550,5100,constellation8,
984849696,0,156,14180,7020,2120,constellation5,
991663902,0,0,1150,550,0,constellation1,
